graph	segments	links	paths	walks	bytes
graphs/ADE2.for_vcf.poa.ext1000.gfa	280	371	210	0	195376
graphs/ADE2.pggb.ext1000.gfa	301	392	210	0	215845
graphs/ADE2.poa.ext0.gfa	302	377	211	0	211371
graphs/ADE2.poa.ext1000.gfa	280	371	210	0	195373
graphs/ADE2.rendered.gfa	280	371	210	0	195373
graphs/ADE2.syng.ext1000.gfa	309	389	210	0	86795
graphs/CUP1.syng.ext0.gfa	5371	6415	222	0	669532
graphs/CUP1.syng.ext1000.gfa	5442	6459	218	0	639377
graphs/CUP1.syng.ext5000.gfa	5121	6140	224	0	631635
graphs/CUP1.syng.seed_drop0.gfa	5465	6484	218	0	644028
graphs/CUP1.syng.seed_drop01.gfa	5681	6686	222	0	654029
graphs/CUP1.syng.walk3.gfa	5514	6559	247	0	678163
graphs/CUP1.syng.walk7.gfa	4467	5431	221	0	591930
graphs/ENA1.syng.ext1000.gfa	6145	7472	245	0	850578
graphs/FLO11.syng.ext1000.gfa	15411	18048	256	0	1538468
graphs/HXT67.syng.ext1000.gfa	5412	6645	227	0	772084
graphs/SUC2.pggb.ext1000.gfa	2735	3594	290	0	1666978
graphs/SUC2.poa.ext1000.gfa	2616	3591	290	0	1818411
graphs/SUC2.syng.ext1000.gfa	2471	2983	290	0	364315
