chrom	start	end	n_canonical_query_chromosomes	n_other_canonical_query_chromosomes
SGDref#0#chrI	0	10000	9	8
SGDref#0#chrI	10000	20000	4	3
SGDref#0#chrI	20000	30000	1	0
SGDref#0#chrI	30000	40000	1	0
SGDref#0#chrI	40000	50000	1	0
SGDref#0#chrI	50000	60000	1	0
SGDref#0#chrI	60000	70000	1	0
SGDref#0#chrI	70000	80000	2	1
SGDref#0#chrI	80000	90000	2	1
SGDref#0#chrI	90000	100000	1	0
SGDref#0#chrI	100000	110000	1	0
SGDref#0#chrI	110000	120000	1	0
SGDref#0#chrI	120000	130000	1	0
SGDref#0#chrI	130000	140000	1	0
SGDref#0#chrI	140000	150000	1	0
SGDref#0#chrI	150000	160000	1	0
SGDref#0#chrI	160000	170000	1	0
SGDref#0#chrI	170000	180000	1	0
SGDref#0#chrI	180000	190000	1	0
SGDref#0#chrI	190000	200000	1	0
SGDref#0#chrI	200000	210000	1	0
SGDref#0#chrI	210000	220000	2	1
SGDref#0#chrI	220000	230000	2	1
SGDref#0#chrI	230000	230218	2	1
SGDref#0#chrV	0	10000	12	11
SGDref#0#chrV	10000	20000	11	10
SGDref#0#chrV	20000	30000	11	10
SGDref#0#chrV	30000	40000	2	1
SGDref#0#chrV	40000	50000	2	1
SGDref#0#chrV	50000	60000	2	1
SGDref#0#chrV	60000	70000	2	1
SGDref#0#chrV	70000	80000	1	0
SGDref#0#chrV	80000	90000	1	0
SGDref#0#chrV	90000	100000	1	0
SGDref#0#chrV	100000	110000	1	0
SGDref#0#chrV	110000	120000	1	0
SGDref#0#chrV	120000	130000	1	0
SGDref#0#chrV	130000	140000	1	0
SGDref#0#chrV	140000	150000	1	0
SGDref#0#chrV	150000	160000	1	0
SGDref#0#chrV	160000	170000	1	0
SGDref#0#chrV	170000	180000	1	0
SGDref#0#chrV	180000	190000	1	0
SGDref#0#chrV	190000	200000	1	0
SGDref#0#chrV	200000	210000	1	0
SGDref#0#chrV	210000	220000	1	0
SGDref#0#chrV	220000	230000	1	0
SGDref#0#chrV	230000	240000	1	0
SGDref#0#chrV	240000	250000	1	0
SGDref#0#chrV	250000	260000	1	0
SGDref#0#chrV	260000	270000	1	0
SGDref#0#chrV	270000	280000	1	0
SGDref#0#chrV	280000	290000	1	0
SGDref#0#chrV	290000	300000	1	0
SGDref#0#chrV	300000	310000	1	0
SGDref#0#chrV	310000	320000	1	0
SGDref#0#chrV	320000	330000	1	0
SGDref#0#chrV	330000	340000	1	0
SGDref#0#chrV	340000	350000	1	0
SGDref#0#chrV	350000	360000	1	0
SGDref#0#chrV	360000	370000	1	0
SGDref#0#chrV	370000	380000	1	0
SGDref#0#chrV	380000	390000	1	0
SGDref#0#chrV	390000	400000	1	0
SGDref#0#chrV	400000	410000	1	0
SGDref#0#chrV	410000	420000	1	0
SGDref#0#chrV	420000	430000	1	0
SGDref#0#chrV	430000	440000	1	0
SGDref#0#chrV	440000	450000	1	0
SGDref#0#chrV	450000	460000	1	0
SGDref#0#chrV	460000	470000	1	0
SGDref#0#chrV	470000	480000	1	0
SGDref#0#chrV	480000	490000	1	0
SGDref#0#chrV	490000	500000	1	0
SGDref#0#chrV	500000	510000	2	1
SGDref#0#chrV	510000	520000	2	1
SGDref#0#chrV	520000	530000	2	1
SGDref#0#chrV	530000	540000	2	1
SGDref#0#chrV	540000	550000	2	1
SGDref#0#chrV	550000	560000	1	0
SGDref#0#chrV	560000	570000	3	2
SGDref#0#chrV	570000	576874	4	3
SGDref#0#chrVIII	0	10000	10	9
SGDref#0#chrVIII	10000	20000	5	4
SGDref#0#chrVIII	20000	30000	1	0
SGDref#0#chrVIII	30000	40000	1	0
SGDref#0#chrVIII	40000	50000	1	0
SGDref#0#chrVIII	50000	60000	1	0
SGDref#0#chrVIII	60000	70000	1	0
SGDref#0#chrVIII	70000	80000	1	0
SGDref#0#chrVIII	80000	90000	1	0
SGDref#0#chrVIII	90000	100000	1	0
SGDref#0#chrVIII	100000	110000	1	0
SGDref#0#chrVIII	110000	120000	1	0
SGDref#0#chrVIII	120000	130000	1	0
SGDref#0#chrVIII	130000	140000	1	0
SGDref#0#chrVIII	140000	150000	1	0
SGDref#0#chrVIII	150000	160000	1	0
SGDref#0#chrVIII	160000	170000	1	0
SGDref#0#chrVIII	170000	180000	1	0
SGDref#0#chrVIII	180000	190000	1	0
SGDref#0#chrVIII	190000	200000	1	0
SGDref#0#chrVIII	200000	210000	1	0
SGDref#0#chrVIII	210000	220000	1	0
SGDref#0#chrVIII	220000	230000	1	0
SGDref#0#chrVIII	230000	240000	1	0
SGDref#0#chrVIII	240000	250000	1	0
SGDref#0#chrVIII	250000	260000	1	0
SGDref#0#chrVIII	260000	270000	1	0
SGDref#0#chrVIII	270000	280000	1	0
SGDref#0#chrVIII	280000	290000	1	0
SGDref#0#chrVIII	290000	300000	1	0
SGDref#0#chrVIII	300000	310000	1	0
SGDref#0#chrVIII	310000	320000	1	0
SGDref#0#chrVIII	320000	330000	1	0
SGDref#0#chrVIII	330000	340000	1	0
SGDref#0#chrVIII	340000	350000	1	0
SGDref#0#chrVIII	350000	360000	2	1
SGDref#0#chrVIII	360000	370000	2	1
SGDref#0#chrVIII	370000	380000	2	1
SGDref#0#chrVIII	380000	390000	2	1
SGDref#0#chrVIII	390000	400000	2	1
SGDref#0#chrVIII	400000	410000	2	1
SGDref#0#chrVIII	410000	420000	2	1
SGDref#0#chrVIII	420000	430000	2	1
SGDref#0#chrVIII	430000	440000	2	1
SGDref#0#chrVIII	440000	450000	2	1
SGDref#0#chrVIII	450000	460000	3	2
SGDref#0#chrVIII	460000	470000	4	3
SGDref#0#chrVIII	470000	480000	4	3
SGDref#0#chrVIII	480000	490000	3	2
SGDref#0#chrVIII	490000	500000	3	2
SGDref#0#chrVIII	500000	510000	3	2
SGDref#0#chrVIII	510000	520000	3	2
SGDref#0#chrVIII	520000	530000	5	4
SGDref#0#chrVIII	530000	540000	5	4
SGDref#0#chrVIII	540000	550000	6	5
SGDref#0#chrVIII	550000	560000	15	14
SGDref#0#chrVIII	560000	562643	13	12
SGDref#0#chrIX	0	10000	16	15
SGDref#0#chrIX	10000	20000	9	8
SGDref#0#chrIX	20000	30000	5	4
SGDref#0#chrIX	30000	40000	1	0
SGDref#0#chrIX	40000	50000	2	1
SGDref#0#chrIX	50000	60000	2	1
SGDref#0#chrIX	60000	70000	2	1
SGDref#0#chrIX	70000	80000	2	1
SGDref#0#chrIX	80000	90000	2	1
SGDref#0#chrIX	90000	100000	2	1
SGDref#0#chrIX	100000	110000	2	1
SGDref#0#chrIX	110000	120000	2	1
SGDref#0#chrIX	120000	130000	2	1
SGDref#0#chrIX	130000	140000	2	1
SGDref#0#chrIX	140000	150000	2	1
SGDref#0#chrIX	150000	160000	2	1
SGDref#0#chrIX	160000	170000	2	1
SGDref#0#chrIX	170000	180000	4	3
SGDref#0#chrIX	180000	190000	4	3
SGDref#0#chrIX	190000	200000	2	1
SGDref#0#chrIX	200000	210000	6	5
SGDref#0#chrIX	210000	220000	5	4
SGDref#0#chrIX	220000	230000	2	1
SGDref#0#chrIX	230000	240000	2	1
SGDref#0#chrIX	240000	250000	2	1
SGDref#0#chrIX	250000	260000	2	1
SGDref#0#chrIX	260000	270000	3	2
SGDref#0#chrIX	270000	280000	3	2
SGDref#0#chrIX	280000	290000	2	1
SGDref#0#chrIX	290000	300000	2	1
SGDref#0#chrIX	300000	310000	2	1
SGDref#0#chrIX	310000	320000	2	1
SGDref#0#chrIX	320000	330000	1	0
SGDref#0#chrIX	330000	340000	1	0
SGDref#0#chrIX	340000	350000	1	0
SGDref#0#chrIX	350000	360000	1	0
SGDref#0#chrIX	360000	370000	1	0
SGDref#0#chrIX	370000	380000	1	0
SGDref#0#chrIX	380000	390000	6	5
SGDref#0#chrIX	390000	400000	6	5
SGDref#0#chrIX	400000	410000	5	4
SGDref#0#chrIX	410000	420000	3	2
SGDref#0#chrIX	420000	430000	3	2
SGDref#0#chrIX	430000	439888	6	5
SGDref#0#chrXV	0	10000	5	4
SGDref#0#chrXV	10000	20000	7	6
SGDref#0#chrXV	20000	30000	5	4
SGDref#0#chrXV	30000	40000	4	3
SGDref#0#chrXV	40000	50000	3	2
SGDref#0#chrXV	50000	60000	3	2
SGDref#0#chrXV	60000	70000	3	2
SGDref#0#chrXV	70000	80000	3	2
SGDref#0#chrXV	80000	90000	3	2
SGDref#0#chrXV	90000	100000	3	2
SGDref#0#chrXV	100000	110000	3	2
SGDref#0#chrXV	110000	120000	2	1
SGDref#0#chrXV	120000	130000	1	0
SGDref#0#chrXV	130000	140000	2	1
SGDref#0#chrXV	140000	150000	2	1
SGDref#0#chrXV	150000	160000	2	1
SGDref#0#chrXV	160000	170000	2	1
SGDref#0#chrXV	170000	180000	2	1
SGDref#0#chrXV	180000	190000	2	1
SGDref#0#chrXV	190000	200000	2	1
SGDref#0#chrXV	200000	210000	2	1
SGDref#0#chrXV	210000	220000	2	1
SGDref#0#chrXV	220000	230000	1	0
SGDref#0#chrXV	230000	240000	1	0
SGDref#0#chrXV	240000	250000	1	0
SGDref#0#chrXV	250000	260000	1	0
SGDref#0#chrXV	260000	270000	1	0
SGDref#0#chrXV	270000	280000	1	0
SGDref#0#chrXV	280000	290000	1	0
SGDref#0#chrXV	290000	300000	1	0
SGDref#0#chrXV	300000	310000	1	0
SGDref#0#chrXV	310000	320000	1	0
SGDref#0#chrXV	320000	330000	1	0
SGDref#0#chrXV	330000	340000	1	0
SGDref#0#chrXV	340000	350000	1	0
SGDref#0#chrXV	350000	360000	1	0
SGDref#0#chrXV	360000	370000	1	0
SGDref#0#chrXV	370000	380000	1	0
SGDref#0#chrXV	380000	390000	1	0
SGDref#0#chrXV	390000	400000	1	0
SGDref#0#chrXV	400000	410000	1	0
SGDref#0#chrXV	410000	420000	1	0
SGDref#0#chrXV	420000	430000	1	0
SGDref#0#chrXV	430000	440000	1	0
SGDref#0#chrXV	440000	450000	1	0
SGDref#0#chrXV	450000	460000	1	0
SGDref#0#chrXV	460000	470000	1	0
SGDref#0#chrXV	470000	480000	1	0
SGDref#0#chrXV	480000	490000	1	0
SGDref#0#chrXV	490000	500000	1	0
SGDref#0#chrXV	500000	510000	1	0
SGDref#0#chrXV	510000	520000	1	0
SGDref#0#chrXV	520000	530000	1	0
SGDref#0#chrXV	530000	540000	1	0
SGDref#0#chrXV	540000	550000	1	0
SGDref#0#chrXV	550000	560000	1	0
SGDref#0#chrXV	560000	570000	1	0
SGDref#0#chrXV	570000	580000	1	0
SGDref#0#chrXV	580000	590000	1	0
SGDref#0#chrXV	590000	600000	2	1
SGDref#0#chrXV	600000	610000	1	0
SGDref#0#chrXV	610000	620000	1	0
SGDref#0#chrXV	620000	630000	1	0
SGDref#0#chrXV	630000	640000	1	0
SGDref#0#chrXV	640000	650000	1	0
SGDref#0#chrXV	650000	660000	1	0
SGDref#0#chrXV	660000	670000	1	0
SGDref#0#chrXV	670000	680000	1	0
SGDref#0#chrXV	680000	690000	1	0
SGDref#0#chrXV	690000	700000	1	0
SGDref#0#chrXV	700000	710000	3	2
SGDref#0#chrXV	710000	720000	3	2
SGDref#0#chrXV	720000	730000	1	0
SGDref#0#chrXV	730000	740000	1	0
SGDref#0#chrXV	740000	750000	1	0
SGDref#0#chrXV	750000	760000	1	0
SGDref#0#chrXV	760000	770000	1	0
SGDref#0#chrXV	770000	780000	1	0
SGDref#0#chrXV	780000	790000	1	0
SGDref#0#chrXV	790000	800000	1	0
SGDref#0#chrXV	800000	810000	1	0
SGDref#0#chrXV	810000	820000	1	0
SGDref#0#chrXV	820000	830000	1	0
SGDref#0#chrXV	830000	840000	1	0
SGDref#0#chrXV	840000	850000	1	0
SGDref#0#chrXV	850000	860000	1	0
SGDref#0#chrXV	860000	870000	1	0
SGDref#0#chrXV	870000	880000	1	0
SGDref#0#chrXV	880000	890000	1	0
SGDref#0#chrXV	890000	900000	1	0
SGDref#0#chrXV	900000	910000	1	0
SGDref#0#chrXV	910000	920000	1	0
SGDref#0#chrXV	920000	930000	1	0
SGDref#0#chrXV	930000	940000	1	0
SGDref#0#chrXV	940000	950000	1	0
SGDref#0#chrXV	950000	960000	1	0
SGDref#0#chrXV	960000	970000	2	1
SGDref#0#chrXV	970000	980000	2	1
SGDref#0#chrXV	980000	990000	1	0
SGDref#0#chrXV	990000	1000000	1	0
SGDref#0#chrXV	1000000	1010000	1	0
SGDref#0#chrXV	1010000	1020000	1	0
SGDref#0#chrXV	1020000	1030000	1	0
SGDref#0#chrXV	1030000	1040000	1	0
SGDref#0#chrXV	1040000	1050000	1	0
SGDref#0#chrXV	1050000	1060000	2	1
SGDref#0#chrXV	1060000	1070000	4	3
SGDref#0#chrXV	1070000	1080000	6	5
SGDref#0#chrXV	1080000	1090000	15	14
SGDref#0#chrXV	1090000	1091291	13	12
